Temp,Pliq,p_vap (MPa),vf (m3/kg),vg (m3/kg),hf,hg (kJ/kg),sf (kJ/kg-K),sg (kJ/kg-K),cpf (kJ/kg-K),cpg (kJ/kg-K),muf (Pa-s),mug (Pa-s)
4,0.90784,0.90485,0.00086675,0.028779,206.12,422.46,1.0219,1.8027,1.5412,1.1724,0.00015375,0.000012422
5,0.93623,0.93315,0.00086987,0.027884,207.66,422.73,1.0274,1.8007,1.547,1.1822,0.00015186,0.000012478
6,0.96529,0.96212,0.00087304,0.02702,209.21,422.99,1.0328,1.7988,1.553,1.1921,0.00015,0.000012533
7,0.99502,0.99176,0.00087626,0.026187,210.77,423.25,1.0383,1.7969,1.5592,1.2022,0.00014816,0.000012589
8,1.0254,1.0221,0.00087952,0.025383,212.33,423.49,1.0438,1.795,1.5655,1.2126,0.00014634,0.000012644
9,1.0565,1.0531,0.00088284,0.024606,213.89,423.73,1.0492,1.7931,1.572,1.2233,0.00014454,0.0000127
10,1.0884,1.0848,0.00088621,0.023856,215.46,423.96,1.0547,1.7912,1.5787,1.2342,0.00014276,0.000012756
11,1.1209,1.1172,0.00088964,0.023132,217.04,424.18,1.0602,1.7893,1.5856,1.2454,0.00014099,0.000012812
12,1.1541,1.1504,0.00089313,0.022432,218.63,424.39,1.0656,1.7874,1.5927,1.257,0.00013925,0.000012869
13,1.1881,1.1843,0.00089667,0.021755,220.22,424.59,1.0711,1.7855,1.6,1.2688,0.00013752,0.000012927
14,1.2229,1.2189,0.00090027,0.021101,221.81,424.79,1.0765,1.7836,1.6075,1.281,0.00013581,0.000012986
15,1.2584,1.2543,0.00090394,0.020469,223.42,424.97,1.082,1.7816,1.6152,1.2935,0.00013411,0.000013045
16,1.2946,1.2905,0.00090767,0.019857,225.03,425.14,1.0875,1.7797,1.6232,1.3065,0.00013243,0.000013105
17,1.3317,1.3274,0.00091147,0.019265,226.64,425.31,1.0929,1.7778,1.6315,1.3198,0.00013077,0.000013165
18,1.3695,1.3651,0.00091535,0.018692,228.27,425.46,1.0984,1.7758,1.64,1.3337,0.00012912,0.000013227
19,1.4082,1.4036,0.00091929,0.018138,229.9,425.6,1.1039,1.7739,1.6488,1.3479,0.00012749,0.000013289
20,1.4476,1.443,0.00092331,0.017601,231.54,425.73,1.1094,1.7719,1.6579,1.3627,0.00012587,0.000013352
21,1.4879,1.4831,0.0009274,0.017081,233.19,425.85,1.1148,1.77,1.6673,1.378,0.00012426,0.000013416
22,1.529,1.5241,0.00093158,0.016578,234.85,425.95,1.1203,1.768,1.677,1.3939,0.00012267,0.000013482
23,1.5709,1.566,0.00093584,0.016089,236.51,426.04,1.1258,1.766,1.687,1.4105,0.00012109,0.000013548
24,1.6138,1.6087,0.00094019,0.015616,238.18,426.12,1.1313,1.764,1.6974,1.4276,0.00011953,0.000013615
25,1.6574,1.6522,0.00094463,0.015158,239.86,426.19,1.1368,1.7619,1.7082,1.4455,0.00011797,0.000013684
26,1.702,1.6967,0.00094916,0.014713,241.55,426.25,1.1424,1.7599,1.7194,1.4641,0.00011643,0.000013754
27,1.7475,1.742,0.00095379,0.014282,243.25,426.28,1.1479,1.7578,1.731,1.4835,0.0001149,0.000013825
28,1.7938,1.7883,0.00095852,0.013863,244.96,426.31,1.1534,1.7558,1.7431,1.5037,0.00011338,0.000013898
29,1.8411,1.8354,0.00096336,0.013457,246.68,426.32,1.159,1.7537,1.7556,1.5249,0.00011188,0.000013972
30,1.8893,1.8835,0.00096832,0.013063,248.41,426.31,1.1645,1.7515,1.7687,1.5471,0.00011038,0.000014047
31,1.9385,1.9326,0.00097338,0.01268,250.15,426.29,1.1701,1.7494,1.7823,1.5703,0.00010889,0.000014125
32,1.9886,1.9826,0.00097857,0.012308,251.9,426.25,1.1757,1.7472,1.7966,1.5946,0.00010741,0.000014204
33,2.0397,2.0335,0.00098389,0.011947,253.66,426.2,1.1813,1.745,1.8114,1.6202,0.00010594,0.000014285
34,2.0918,2.0855,0.00098935,0.011596,255.43,426.12,1.1869,1.7428,1.827,1.647,0.00010448,0.000014367
35,2.1449,2.1385,0.00099494,0.011255,257.22,426.03,1.1925,1.7405,1.8433,1.6753,0.00010303,0.000014452
36,2.1989,2.1924,0.0010007,0.010923,259.01,425.92,1.1982,1.7382,1.8605,1.7052,0.00010158,0.000014539
37,2.254,2.2474,0.0010066,0.0106,260.82,425.79,1.2038,1.7359,1.8785,1.7367,0.00010014,0.000014629
38,2.3102,2.3035,0.0010126,0.010286,262.65,425.63,1.2095,1.7335,1.8976,1.77,0.000098708,0.000014721
39,2.3674,2.3605,0.0010189,0.0099805,264.48,425.46,1.2152,1.7311,1.9176,1.8054,0.000097282,0.000014815
40,2.4256,2.4187,0.0010253,0.009683,266.33,425.26,1.221,1.7286,1.9389,1.8428,0.000095861,0.000014913
41,2.485,2.4779,0.0010319,0.0093931,268.2,425.04,1.2267,1.7261,1.9615,1.8827,0.000094446,0.000015013
42,2.5454,2.5383,0.0010387,0.0091108,270.08,424.79,1.2325,1.7235,1.9855,1.9252,0.000093034,0.000015117
43,2.607,2.5998,0.0010458,0.0088355,271.98,424.52,1.2383,1.7209,2.0112,1.9707,0.000091626,0.000015224
44,2.6697,2.6624,0.001053,0.0085671,273.9,424.21,1.2442,1.7182,2.0386,2.0193,0.000090221,0.000015335
45,2.7335,2.7261,0.0010606,0.0083053,275.84,423.88,1.2501,1.7155,2.068,2.0715,0.000088817,0.00001545
46,2.7985,2.7911,0.0010684,0.0080498,277.8,423.52,1.256,1.7127,2.0997,2.1277,0.000087415,0.000015569
